Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5801710340211976,1.6283345921065218,2.3199999520653174,0.32681858388441937,0.3221736204576043,0.17195325542570952
2,1.388252758513885,1.370443343715642,2.6383452886029293,0.43195316119792765,0.4737550471063257,0.21202003338898165
3,1.2796170339189128,1.1917119843344535,2.323647960236198,0.48494166210353395,0.5304508748317631,0.2637729549248748
4,1.206188367503994,1.1303767556504858,2.1057238453312923,0.5162798534181374,0.552321668909825,0.2871452420701169
5,1.151610000716708,1.0825319046615272,2.0241501770521464,0.5404995577271388,0.5720053835800808,0.332220367278798
6,1.107462120746988,1.0415387002611032,2.0625192021068774,0.5589907754517501,0.5984185733512786,0.35392320534223703
7,1.074507606961335,1.023729550782391,2.0417118417589286,0.5741965376353144,0.6009421265141319,0.3589315525876461
8,1.0474881628814412,1.0184339589329177,1.8335996081954555,0.5864538140769133,0.6049798115746972,0.41235392320534225
9,1.0211675870772,1.0186624645445777,2.410954996159202,0.5966471504991365,0.6024562584118439,0.337228714524207
10,0.9987583113608335,0.9809692788228233,2.3897382773851095,0.607682911419064,0.6199528936742934,0.34557595993322204
11,0.9817971226099045,0.9538176554625714,1.9231493598536442,0.6166547323196159,0.6290376850605652,0.3806343906510851
12,0.96229781768714,0.9457917313181585,2.2162894010543823,0.6221304915546945,0.6258411843876177,0.3555926544240401
13,0.9479932720167938,0.9904272233847008,2.259471322360792,0.6271429173160356,0.6128869448183042,0.3622704507512521
14,0.9342273484182486,0.9654755240196102,2.2396013391645333,0.6341771618718672,0.6270188425302826,0.3756260434056761
15,0.9201157140844273,0.9373313576704071,1.680641139808454,0.6398635272313719,0.6391318977119784,0.42237061769616024
16,0.8985205692342028,0.9181276358143297,1.8414738774299622,0.6474453477107114,0.6473755047106325,0.41402337228714525
17,0.8862578200924429,0.939579574080805,1.9139297635931718,0.6531738342951013,0.6276917900403769,0.41569282136894825
18,0.8799292389353652,0.8980192393865637,1.9327303390753896,0.6546901983909692,0.6530955585464334,0.41068447412353926
19,0.8633617262313308,0.9155192881301847,2.255652079456731,0.6602502000758182,0.6475437415881561,0.38898163606010017
20,0.8500448212007468,0.9003323605183953,1.9720974344956248,0.6633671707173244,0.6544414535666218,0.41068447412353926
21,0.8350600842035042,0.924891303839182,2.1282919300229928,0.6718756581441389,0.6458613728129206,0.38898163606010017
22,0.8244693203153958,0.8586627104750244,1.9351743930264522,0.6788256602502001,0.6692462987886945,0.4006677796327212
23,0.8128967179723505,0.929067422445583,1.86582855174416,0.6838802072364264,0.655114401076716,0.4373956594323873
24,0.8053965096404611,0.8716382173901444,2.2134044295863102,0.6848489954087865,0.6687415881561238,0.4040066777963272
25,0.7908324076520464,0.8694171068929536,2.000491578327982,0.689355966471505,0.6675639300134589,0.4023372287145242
26,0.7778415837679109,0.9124701309959173,2.2593522197321843,0.6950844530558948,0.6579744279946165,0.39232053422370616
27,0.7638627467049421,0.9027877940661123,2.44088645044126,0.6989596057453351,0.6621803499327052,0.39065108514190316
28,0.7549446470774409,0.8821502259672088,2.2098241291548075,0.701444758013563,0.6670592193808883,0.4290484140233723
29,0.7431053691355366,0.9137781284328911,1.850089524921618,0.7094477907417548,0.6578061911170928,0.44240400667779634
30,0.7347085532152428,0.8717559822484531,1.8539804502537376,0.7126068826081462,0.6747981157469717,0.4357262103505843
31,0.7156173354993772,0.8905928258794129,2.0460376896356283,0.7222947643317468,0.6695827725437415,0.44741235392320533
32,0.7113553575287771,0.8982576194234313,2.329677180240029,0.7205677941114528,0.6721063257065949,0.4006677796327212
33,0.7031552644993738,0.8966360097871192,2.2739357289515043,0.7232635525041068,0.6805181695827726,0.44240400667779634
34,0.6889787745684627,0.9102816121172039,1.9797307127400448,0.731729918706036,0.6593203230148048,0.4340567612687813
35,0.6774825841047853,0.9512985638312755,1.9331271491552655,0.7368265869171475,0.6483849259757739,0.4340567612687813
36,0.6660412607006628,0.9521627555831625,2.2653472298070003,0.7400278000084243,0.6704239569313594,0.44240400667779634
37,0.6583032176360448,0.8855370885181811,1.8546824267036037,0.743439619224127,0.6716016150740243,0.4357262103505843
38,0.6425610846285068,0.8900850819904478,2.5081720822735836,0.7511899246030075,0.6838829071332436,0.39565943238731216
39,0.6386759857925765,0.8815208920603117,2.1101502682033337,0.7527905311486458,0.6852288021534321,0.44741235392320533
40,0.6305572605388103,0.9121995213371451,2.147698236139197,0.7555705319910703,0.6621803499327052,0.4507512520868113
41,0.613198527217795,0.8990524655598546,2.3014559306596456,0.7610884124510341,0.6865746971736204,0.4607679465776294
42,0.6040583222481921,0.8972396104526456,2.396218397115406,0.7618044732740828,0.6867429340511441,0.4323873121869783
43,0.5954984815595445,0.9546539596750111,2.6969389225307263,0.7718293247967651,0.6736204576043069,0.42070116861435725
44,0.5823236164408472,0.9545372981047358,2.4721781548700834,0.7713659913230276,0.6768169582772544,0.44073455759599334
45,0.5794849278219546,0.9004525722652894,2.2538523360302576,0.7733035676677478,0.6830417227456258,0.44908180300500833
46,0.565896954979858,0.9491025753073915,2.636706697313409,0.7846762983867571,0.6697510094212651,0.3739565943238731
47,0.5530256907282413,0.887304377712069,2.7512080324323556,0.7864453898319363,0.6917900403768507,0.4323873121869783
48,0.5417639404846571,0.9969589915877629,2.6262647321349695,0.7906996335453434,0.6823687752355316,0.4540901502504174
49,0.5312539493399007,0.932481050446269,2.13910165272261,0.7930163009140305,0.6774899057873486,0.44574290484140233
50,0.5231339983852967,0.98642436899395,2.5568389892578125,0.7959647866559959,0.6837146702557201,0.4323873121869783
51,0.5142086891060811,1.0041693978572404,2.312990725040436,0.8016932732403859,0.676985195154778,0.4691151919866444
52,0.5077070512449886,0.9296242352274637,2.1226116481580233,0.8031253948864833,0.6781628532974427,0.44741235392320533
