Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5081200665139123,1.6243941027631041,1.8350738004634255,0.37298344635862013,0.28415208613728127,0.15859766277128548
2,1.280943388526009,1.6327333613749473,1.744735676991312,0.47925529674402934,0.2676648721399731,0.20868113522537562
3,1.1714440969363697,1.5681187943104775,1.8183616870327999,0.5295901604818668,0.3063593539703903,0.2570951585976628
4,1.1077285152922745,1.6084081107570278,1.714818298816681,0.5573480476812266,0.27893674293405113,0.24707846410684475
5,1.0619391456567695,1.515555799648326,1.7571846434944554,0.5783665388989512,0.3583445491251682,0.2871452420701169
6,1.0235055406500067,1.5059929073497813,1.723702217403211,0.5942041194557938,0.36911170928667564,0.3088480801335559
7,0.9919649092857086,1.5507148230268109,1.8263128588074131,0.6081041236679162,0.3135935397039031,0.29716193656093487
8,0.9611442534308228,1.399433506752855,1.7123723688878512,0.6243629164736111,0.4453230148048452,0.34891485809682804
9,0.9380527558031108,1.446895553219703,1.7811149609716315,0.6292910997851817,0.3731493943472409,0.31385642737896496
10,0.9157319914579712,1.4994019827535074,1.7541507545270418,0.6414641337770103,0.34505383580080756,0.3071786310517529
11,0.8889804807192875,1.5064516086732187,1.7612563685366982,0.6530895918453309,0.3310901749663526,0.3021702838063439
12,0.876207033960485,1.486951234359895,1.8270575749246698,0.6554483804389032,0.34185733512786004,0.3021702838063439
13,0.8583754045522277,1.4437579096004527,1.7949465607341968,0.6621035339707678,0.38374831763122474,0.34724540901502504
14,0.8403024621247602,1.3816221918790572,1.7342116832733154,0.6704014152731561,0.4177321668909825,0.34891485809682804
15,0.818439455356479,1.3665593131895988,1.8362635217214887,0.6795417210732488,0.4251345895020188,0.33889816360601
16,0.8015279130673794,1.3659075000273284,1.8228590802142495,0.6835432374373447,0.41924629878869446,0.3021702838063439
17,0.7872842565540354,1.374714820936162,1.8947963149924028,0.6895244513710459,0.4123485868102288,0.31719532554257096
18,0.7694581258047944,1.326832397971102,1.8110543269860118,0.6944526346826165,0.47493270524899056,0.33889816360601
19,0.7513929954215363,1.4595708217351668,1.8982385365586532,0.7063729413251337,0.38172947510094213,0.31552587646076796
20,0.7380160508110035,1.3833201452288577,1.8036722572226274,0.7092793058422139,0.4641655450874832,0.337228714524207
21,0.7270763292306196,1.2932324624189766,1.798713339002509,0.7110905185122783,0.49983176312247646,0.37061769616026713
22,0.7050042864452355,1.2519996957753294,1.8779789711299695,0.7236005223031886,0.5042059219380888,0.3021702838063439
23,0.6902499795964143,1.3371436615144052,1.834461886631815,0.7299187060359715,0.46685733512786004,0.33889816360601
24,0.66924247288238,1.4958713099520693,2.0295615384453223,0.7395644665346869,0.3724764468371467,0.2871452420701169
25,0.66029105062353,1.4905893849108809,1.8625048367600692,0.7397329514342277,0.397207267833109,0.32220367278797996
26,0.639248274417338,1.5053261799677726,2.135313005823838,0.7504738637799587,0.3943472409152086,0.2854757929883139
27,0.6298088682187857,1.350855344565966,1.821746550108257,0.7510635609283518,0.45306191117092864,0.3572621035058431
28,0.6118663524721832,1.320681329696409,1.8590809389164573,0.7599511393791332,0.4712314939434724,0.35225375626043404
29,0.5964403860973861,1.2517276854925259,1.8630643957539608,0.7649635651404743,0.5042059219380888,0.34223706176961605
30,0.5811126027306457,1.4786888209562148,2.054236606547707,0.7729665978686661,0.40174966352624497,0.2871452420701169
31,0.559296391803942,1.3808180382975968,2.1672997004107426,0.778526599553515,0.43741588156123823,0.2570951585976628
32,0.5491004140088661,1.2939057254823305,2.111319450955642,0.7863190261572807,0.49158815612382234,0.29716193656093487
33,0.5280537375944323,1.470030934860309,2.2087133589543795,0.7929320584642602,0.4468371467025572,0.2921535893155259
34,0.5148266171308541,1.3676170782055905,2.1100540380728874,0.7991659997472726,0.46281965006729475,0.2988313856427379
35,0.49540070478987663,1.4198580704709536,2.145726608602624,0.8081378206478245,0.422442799461642,0.2871452420701169
36,0.4871752240602178,1.2524733685998506,2.1801318683122335,0.8110020639400194,0.4981493943472409,0.29716193656093487
37,0.4619315201542127,1.358634453306916,2.113172669159739,0.8210690366875869,0.46635262449528936,0.3055091819699499
