Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.4400120643833576,1.248481429232064,2.326881527900696,0.40284739480224085,0.48805518169582773,0.2003338898163606
2,1.1634730090188852,1.104978108878738,1.7141394238722951,0.5375931932100585,0.5686406460296097,0.38731218697829717
3,1.0235675147601537,1.0792196512783085,2.0991214388295223,0.599427151341561,0.5799125168236877,0.36894824707846413
4,0.9248477000231049,0.9921623611001558,1.9584641958537854,0.6403268607051094,0.6142328398384926,0.34557595993322204
5,0.8206020997400393,1.0392807701662663,2.256939765654112,0.684175055810623,0.602792732166891,0.34223706176961605
6,0.7196561503462554,1.0442305506878002,2.203115601288645,0.7295396150120046,0.6130551816958277,0.39565943238731216
7,0.6261093816606985,1.0723415283280955,2.653307707686173,0.7687965966050293,0.6162516823687753,0.35058430717863104
8,0.5354617699237686,1.2071909809144594,2.6787335590312353,0.8078008508487426,0.6004374158815612,0.3622704507512521
9,0.4582080878995138,1.130437121994453,2.975283459613198,0.8372857082683964,0.6223082099596231,0.3572621035058431
10,0.3943169367652778,1.2194026264972904,2.862761205748508,0.8578829872372689,0.620457604306864,0.37061769616026713
11,0.33340312080392537,1.2410114859230816,2.63126591318532,0.8824396613453519,0.628028263795424,0.4006677796327212
12,0.28126495506117405,1.2760909638037123,2.6571481667066874,0.9022366370414051,0.6120457604306864,0.3672787979966611
13,0.238388346277825,1.3334108709673127,2.994575149134586,0.9177793690240512,0.6281965006729475,0.3756260434056761
14,0.2081765011797039,1.4082261052158516,3.4777886334218477,0.9307105850638137,0.6324024226110363,0.3572621035058431
15,0.18213968602890235,1.4545614288529,3.522903699623911,0.9394717998399393,0.6255047106325706,0.34557595993322204
16,0.14996592013866358,1.5766245687120064,4.117268637606972,0.949959984836359,0.6324024226110363,0.337228714524207
17,0.14191567236268918,1.7525356957208245,4.086759485696492,0.9535402889516027,0.6080080753701211,0.3572621035058431
18,0.12444912107969507,1.6515085001411016,3.42085011381852,0.9582999873636325,0.6244952893674294,0.39565943238731216
19,0.11110840231252206,1.6139863450618421,3.921869660678663,0.9629754433258919,0.6325706594885598,0.3672787979966611
20,0.09768340892372296,1.6999756911824588,4.212991011770148,0.968535445010741,0.6260094212651414,0.3739565943238731
21,0.090011568110081,1.841298064247014,4.307722731640465,0.9706836274798871,0.6112045760430687,0.3572621035058431
22,0.07734222290398098,1.7615707945673207,4.351930260658264,0.9760751442651953,0.6335800807537012,0.3639398998330551
23,0.07383619731753319,1.7633473757073603,3.983858478696723,0.9769596899877848,0.632907133243607,0.3823038397328882
24,0.06749262464010503,1.6574048299650017,4.061628884390781,0.9793605998062423,0.6387954239569313,0.3739565943238731
25,0.05592441988472401,1.7528714466043898,3.8511433036703813,0.9832778737205677,0.6403095558546433,0.38397328881469117
26,0.053322368398176334,1.8594225214441278,5.003074689915306,0.9837412071943052,0.6288694481830417,0.34557595993322204
27,0.044136961596455325,1.8560786492005679,4.812753225627699,0.9858893896634514,0.6403095558546433,0.37061769616026713
