Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5771991126942184,1.5379342135562692,2.2708842158317566,0.3292194937028769,0.37264468371467024,0.17863105175292154
2,1.3896755178100015,1.323956270011202,2.496996430974258,0.4320795248725833,0.477792732166891,0.21702838063439064
3,1.2745929914664709,1.2372543492544723,2.398564439070852,0.4837622678067478,0.5203566621803499,0.25542570951585974
4,1.2031830888633137,1.2026470760584518,1.8972725366291248,0.5187228844614802,0.5121130551816958,0.337228714524207
5,1.1531798823904797,1.1399541823293573,2.018854476903614,0.5420159218230066,0.5587146702557201,0.3672787979966611
6,1.1065753350119707,1.112604923756613,2.5478123865629496,0.5618550187439451,0.574528936742934,0.3121869782971619
7,1.0755270763508715,1.0094519479060045,1.9283778259628697,0.5747862347837075,0.6048115746971736,0.3722871452420701
8,1.0462274544965224,1.0001528930439745,2.0556795440222086,0.5896129059433048,0.6135598923283984,0.3806343906510851
9,1.0224380645188038,0.973804330873874,2.137034108764247,0.5974053325470705,0.6112045760430687,0.3555926544240401
10,1.005532200546117,0.9566958953015586,1.8509809563034458,0.6029232130070342,0.6276917900403769,0.39232053422370616
11,0.979363692557876,0.9730591694373758,2.3455638885498047,0.6122320037066677,0.6206258411843876,0.3589315525876461
12,0.958095370638724,0.9778052620484584,2.224753044153515,0.6246577650478076,0.6243270524899058,0.3672787979966611
13,0.949825009065015,0.9408437978796741,2.069550369915209,0.6267638262920686,0.6320659488559892,0.3772954924874791
14,0.9313105326698154,0.9067563600437616,2.198873839880291,0.635103828819342,0.6418236877523553,0.38731218697829717
15,0.9147763296037993,0.9536857734764775,2.0149046559082833,0.6383892843603892,0.6355989232839838,0.41569282136894825
16,0.903332132233603,0.9368257479271501,2.023264213612205,0.6481614085337601,0.6345895020188426,0.39565943238731216
17,0.8885725535793767,0.9123117568632287,1.9633512936140363,0.6493829240554315,0.6458613728129206,0.39565943238731216
18,0.8773250482835859,0.9271662677387877,2.0317580354841134,0.653510804094183,0.6458613728129206,0.38898163606010017
