Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.4345589824763911,1.2082381175570591,2.064662870607878,0.4166631565645929,0.5153095558546433,0.2888146911519199
2,1.1796160071204616,1.0817806763394224,2.066017326555754,0.5343077376690114,0.5763795423956931,0.36894824707846413
3,1.0503213355202239,1.0318916242529628,1.8975977364339327,0.5901183606419275,0.5987550471063257,0.3789649415692821
4,0.9545144531524407,1.0348663673716127,2.4166374896702014,0.6290804936607557,0.6159152086137282,0.39398998330550916
5,0.8743115283568914,1.0346636682228054,1.9700704060102765,0.6589444421043764,0.5999327052489906,0.3622704507512521
6,0.8042820349456165,0.9529780860469547,1.9686405909688849,0.693568088960027,0.6287012113055181,0.4240400667779633
7,0.7288449541678165,1.051961122449958,2.529377115400214,0.7217050671833537,0.6229811574697174,0.3555926544240401
8,0.6662676753752396,0.9873514754988093,2.008455367464768,0.749378711932943,0.6285329744279946,0.39398998330550916
9,0.60106001718025,1.0638612436646375,2.3850602099769995,0.7766311444336801,0.6327388963660835,0.3823038397328882
10,0.5409609665466608,1.176569132975513,2.395436660239571,0.8021987279390085,0.6113728129205922,0.3722871452420701
11,0.48699278061120016,1.099902062406463,2.456964815917768,0.8229644918074217,0.6244952893674294,0.41402337228714525
12,0.4136776468412815,1.1586885940914433,2.701745917922572,0.8505117728823555,0.6391318977119784,0.41068447412353926
13,0.38352450381241476,1.2366740371490845,2.6747236973360966,0.8627690493239544,0.639300134589502,0.41903171953255425
14,0.3342629391361138,1.2354094533798015,2.895111560821533,0.8816814792974179,0.629878869448183,0.41235392320534225
15,0.29388330176703614,1.2265982781611984,2.6914614470381486,0.8960869382081631,0.6386271870794078,0.4090150250417362
16,0.265057895755561,1.3393512436061077,2.7823640076737655,0.9077123962764837,0.6366083445491252,0.38564273789649417
17,0.23330588453773138,1.3992904477091808,3.094811731263211,0.9189166420959521,0.6202893674293405,0.4006677796327212
18,0.20407526615211324,1.3340714099837006,3.3368892010889555,0.9299524030158797,0.642328398384926,0.37061769616026713
19,0.1835923567561764,1.4394590925245034,3.391449495365745,0.9356387683753844,0.6260094212651414,0.3806343906510851
20,0.16388301693676216,1.4442205279965394,3.565246494192826,0.9451160439745587,0.6416554508748318,0.3789649415692821
21,0.1400092844752472,1.4872282510610817,3.220746783833755,0.9538351375257993,0.6544414535666218,0.39398998330550916
22,0.11988051495194119,1.5560459682983296,3.9730114921143183,0.9620908976033024,0.6546096904441454,0.39232053422370616
